quantum_circuit,time_taken,device
qpeexact_indep_qiskit_127,11.428802801999998,osaka
twolocalrandom_indep_qiskit_80,8.050992755,osaka
qpeexact_indep_qiskit_123,10.173338354999999,osaka
realamprandom_indep_qiskit_62,5.786576134000001,osaka
realamprandom_indep_qiskit_76,7.2375982553333325,osaka
qft_indep_qiskit_114,8.264294474666666,osaka
qft_indep_qiskit_115,10.280381443333335,osaka
realamprandom_indep_qiskit_77,8.666279527333334,osaka
realamprandom_indep_qiskit_63,6.739594074999999,osaka
qpeexact_indep_qiskit_122,9.372869856666666,osaka
twolocalrandom_indep_qiskit_68,7.473327863666667,osaka
qpeexact_indep_qiskit_120,10.436884840666666,osaka
qpeexact_indep_qiskit_108,9.068930838333333,osaka
realamprandom_indep_qiskit_75,8.618052495999999,osaka
realamprandom_indep_qiskit_61,6.109424779333334,osaka
qft_indep_qiskit_103,7.940607039333333,osaka
qft_indep_qiskit_117,9.550661005333332,osaka
qft_indep_qiskit_116,9.319189414,osaka
qft_indep_qiskit_102,7.184249521000001,osaka
realamprandom_indep_qiskit_60,5.753302527333333,osaka
realamprandom_indep_qiskit_74,8.334330482666667,osaka
qpeexact_indep_qiskit_109,8.179188113333334,osaka
qpeexact_indep_qiskit_121,10.092809615000002,osaka
twolocalrandom_indep_qiskit_69,7.2233393150000005,osaka
qpeinexact_indep_qiskit_125,10.606703895666666,osaka
random_indep_qiskit_60,10.976276729,osaka
qpeinexact_indep_qiskit_119,10.305834982,osaka
qnn_indep_qiskit_55,3.995105912666667,osaka
qftentangled_indep_qiskit_107,8.765439264666666,osaka
qftentangled_indep_qiskit_113,8.40298557,osaka
qftentangled_indep_qiskit_112,8.561718018666665,osaka
qftentangled_indep_qiskit_106,6.497926671666666,osaka
qnn_indep_qiskit_54,4.149525553666667,osaka
qpeinexact_indep_qiskit_118,10.459956765,osaka
random_indep_qiskit_61,11.396296406000003,osaka
qpeinexact_indep_qiskit_124,10.067446135666666,osaka
random_indep_qiskit_49,8.399987527666667,osaka
qpeinexact_indep_qiskit_126,11.044638785333333,osaka
random_indep_qiskit_63,11.589028059666667,osaka
su2random_indep_qiskit_69,7.735143698666666,osaka
qnn_indep_qiskit_56,4.284129339333333,osaka
qftentangled_indep_qiskit_110,9.174866474,osaka
qftentangled_indep_qiskit_104,8.495115654666668,osaka
qftentangled_indep_qiskit_105,8.0527331,osaka
qftentangled_indep_qiskit_111,8.690663083,osaka
qnn_indep_qiskit_57,4.115121000666667,osaka
su2random_indep_qiskit_68,6.627926535666666,osaka
random_indep_qiskit_62,11.795516367000003,osaka
qpeinexact_indep_qiskit_127,10.808390158333333,osaka
qpeinexact_indep_qiskit_123,10.803038577,osaka
su2random_indep_qiskit_78,8.809418659666667,osaka
qnn_indep_qiskit_53,4.147578059333333,osaka
qnn_indep_qiskit_47,3.146045613,osaka
qftentangled_indep_qiskit_115,10.71053175166667,osaka
qftentangled_indep_qiskit_114,9.324190215666667,osaka
qnn_indep_qiskit_46,3.2044346396666668,osaka
qnn_indep_qiskit_52,4.104123383,osaka
su2random_indep_qiskit_79,8.903392932333334,osaka
qpeinexact_indep_qiskit_122,10.441375048,osaka
qpeinexact_indep_qiskit_108,8.652805397333333,osaka
random_indep_qiskit_59,11.010818769000002,osaka
qpeinexact_indep_qiskit_120,9.850041436333333,osaka
qnn_indep_qiskit_44,3.533997432,osaka
qnn_indep_qiskit_50,3.918767016,osaka
qftentangled_indep_qiskit_102,7.214943069,osaka
qftentangled_indep_qiskit_116,8.634329982666666,osaka
qftentangled_indep_qiskit_117,8.969100876333334,osaka
qftentangled_indep_qiskit_103,7.261130435999999,osaka
qnn_indep_qiskit_51,4.202860153333334,osaka
qnn_indep_qiskit_45,3.25645137,osaka
qpeinexact_indep_qiskit_121,9.374097513666667,osaka
random_indep_qiskit_58,9.978735220666668,osaka
random_indep_qiskit_64,12.138986933333335,osaka
qpeinexact_indep_qiskit_109,8.759366415666667,osaka
