quantum_circuit,time_taken,device
qftentangled_indep_qiskit_113,7.536459377999999,kyoto
qftentangled_indep_qiskit_112,8.670131633666667,kyoto
qnn_indep_qiskit_54,4.159184223333333,kyoto
qpeinexact_indep_qiskit_118,9.042171758333334,kyoto
random_indep_qiskit_61,11.494601349000002,kyoto
qpeinexact_indep_qiskit_124,10.096937347666668,kyoto
qpeinexact_indep_qiskit_126,10.919072999999997,kyoto
random_indep_qiskit_63,12.103481404999998,kyoto
su2random_indep_qiskit_69,8.530109372,kyoto
qnn_indep_qiskit_56,4.425150426666666,kyoto
qftentangled_indep_qiskit_110,8.555989720333335,kyoto
qftentangled_indep_qiskit_111,8.634316736666667,kyoto
qnn_indep_qiskit_57,7.3761596906666655,kyoto
su2random_indep_qiskit_68,7.040496177666668,kyoto
random_indep_qiskit_62,11.359084016333332,kyoto
qpeinexact_indep_qiskit_127,10.887157370000002,kyoto
qpeinexact_indep_qiskit_123,10.073303559333334,kyoto
su2random_indep_qiskit_78,9.038116559666667,kyoto
qnn_indep_qiskit_53,3.8940076616666666,kyoto
qnn_indep_qiskit_47,3.4975595493333334,kyoto
qftentangled_indep_qiskit_115,9.029428435333335,kyoto
qftentangled_indep_qiskit_114,8.538452867666665,kyoto
qnn_indep_qiskit_46,3.2536599233333328,kyoto
qnn_indep_qiskit_52,4.062804295333334,kyoto
su2random_indep_qiskit_79,9.495080022666667,kyoto
qpeinexact_indep_qiskit_122,9.160844985333334,kyoto
random_indep_qiskit_59,10.846070288000002,kyoto
qpeinexact_indep_qiskit_120,9.639311725333334,kyoto
qnn_indep_qiskit_50,4.0460203476666665,kyoto
qftentangled_indep_qiskit_116,8.311285474666667,kyoto
qftentangled_indep_qiskit_117,8.796179142333333,kyoto
qnn_indep_qiskit_51,4.193322130666666,kyoto
qpeinexact_indep_qiskit_121,10.253790127666667,kyoto
random_indep_qiskit_58,10.401658715999998,kyoto
random_indep_qiskit_64,12.750796255,kyoto
